epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,1658.58,0.92216,0.55769,0.00361,0.70777,0.71279,0.72395,0.42137,1.69921,1.75492,0.00699,0.000346747,0.000346747,0.000346747
155,1669.31,0.91936,0.55705,0.00359,0.70563,0.70351,0.71965,0.41963,1.68978,1.79038,0.00698,0.000339673,0.000339673,0.000339673
156,1679.68,0.91194,0.58464,0.00351,0.67814,0.70778,0.70257,0.40234,1.69722,1.6584,0.00698,0.0003326,0.0003326,0.0003326
157,1690.11,0.89191,0.55142,0.00352,0.6978,0.71417,0.72546,0.4281,1.6641,1.71302,0.00684,0.000325526,0.000325526,0.000325526
158,1700.8,0.91788,0.56185,0.0036,0.68418,0.69758,0.70692,0.41627,1.6915,1.79493,0.00696,0.000318453,0.000318453,0.000318453
159,1711.66,0.8998,0.56227,0.0035,0.68881,0.69006,0.70011,0.41728,1.66086,1.97475,0.00684,0.000311379,0.000311379,0.000311379
160,1722.16,0.88098,0.54325,0.00341,0.69163,0.69707,0.70852,0.41882,1.66208,1.92691,0.00684,0.000304306,0.000304306,0.000304306
161,1732.65,0.88732,0.5427,0.00345,0.69547,0.70281,0.71213,0.42221,1.65751,1.75329,0.00679,0.000297232,0.000297232,0.000297232
162,1743.29,0.88767,0.54909,0.00344,0.71095,0.6889,0.70344,0.41043,1.66824,1.90417,0.0068,0.000290158,0.000290158,0.000290158
163,1754.23,0.90091,0.56584,0.00348,0.69504,0.70846,0.70611,0.41294,1.66706,1.8577,0.00683,0.000283085,0.000283085,0.000283085
164,1765.46,0.90149,0.56944,0.00355,0.69519,0.69076,0.70395,0.41036,1.67336,1.99064,0.00689,0.000276011,0.000276011,0.000276011
165,1776.02,0.88051,0.53314,0.0034,0.72908,0.69338,0.71398,0.41626,1.66618,1.75405,0.00683,0.000268938,0.000268938,0.000268938
166,1786.38,0.8808,0.52991,0.00342,0.73405,0.69551,0.71864,0.42517,1.65054,1.79849,0.00678,0.000261864,0.000261864,0.000261864
167,1796.95,0.90455,0.56463,0.00352,0.69611,0.70738,0.70357,0.41492,1.66624,1.80972,0.00682,0.000254791,0.000254791,0.000254791
168,1807.91,0.88767,0.55264,0.00346,0.70816,0.69956,0.71137,0.41274,1.69369,1.88404,0.00691,0.000247717,0.000247717,0.000247717
169,1818.63,0.89203,0.57135,0.00347,0.72252,0.68844,0.70364,0.41497,1.67456,1.83565,0.00689,0.000240644,0.000240644,0.000240644
170,1829.07,0.88578,0.5451,0.00343,0.72945,0.71432,0.72701,0.43026,1.66566,1.7423,0.00689,0.00023357,0.00023357,0.00023357
171,1839.47,0.88246,0.53811,0.00345,0.70229,0.73087,0.72219,0.42608,1.68479,1.71089,0.00692,0.000226497,0.000226497,0.000226497
172,1850.27,0.8935,0.56683,0.00351,0.70581,0.71112,0.72094,0.42378,1.65568,1.80794,0.00679,0.000219423,0.000219423,0.000219423
173,1861.17,0.8825,0.55561,0.00344,0.69253,0.73595,0.71447,0.42036,1.67211,1.81952,0.00685,0.000212349,0.000212349,0.000212349
